PERMNO,date,TICKER,PRC,VOL
14593,20180724,AAPL,193.00000,18566211
14593,20180725,AAPL,194.82001,16658928
14593,20180726,AAPL,194.21001,18896667
14593,20180727,AAPL,190.98000,23956208
14593,20180730,AAPL,189.91000,21026954
14593,20180731,AAPL,190.28999,39413440
14593,20180801,AAPL,201.50000,67929016
14593,20180802,AAPL,207.39000,62403382
14593,20180803,AAPL,207.99001,33455474
14593,20180806,AAPL,209.07001,25424187
14593,20180807,AAPL,207.11000,25583772
14593,20180808,AAPL,207.25000,22524820
14593,20180809,AAPL,208.88000,23489476
14593,20180810,AAPL,207.53000,24900152
14593,20180813,AAPL,208.87000,25888580
14593,20180814,AAPL,209.75000,20733210
14593,20180815,AAPL,210.24001,28803464
14593,20180816,AAPL,213.32001,28499141
14593,20180817,AAPL,217.58000,35423222
14593,20180820,AAPL,215.46001,30285517
14593,20180821,AAPL,215.03999,26151763
14593,20180822,AAPL,215.05000,19013736
14593,20180823,AAPL,215.49001,18879935
14593,20180824,AAPL,216.16000,18473656
14593,20180827,AAPL,217.94000,20520142
14593,20180828,AAPL,219.70000,22775594
14593,20180829,AAPL,222.98000,27254154
14593,20180830,AAPL,225.03000,48899298
14593,20180831,AAPL,227.63000,43340143
14593,20180904,AAPL,228.36000,27387073
14593,20180905,AAPL,226.87000,33369115
14593,20180906,AAPL,223.10001,34286666
14593,20180907,AAPL,221.30000,37616010
14593,20180910,AAPL,218.33000,39516786
14593,20180911,AAPL,223.85001,35749054
14593,20180912,AAPL,221.07001,49291846
14593,20180913,AAPL,226.41000,41711910
14593,20180914,AAPL,223.84000,32100597
14593,20180917,AAPL,217.88000,37187315
14593,20180918,AAPL,218.24001,31568212
14593,20180919,AAPL,218.37000,27116578
14593,20180920,AAPL,220.03000,26590294
14593,20180921,AAPL,217.66000,96243548
14593,20180924,AAPL,220.78999,27693383
14593,20180925,AAPL,222.19000,24550084
14593,20180926,AAPL,220.42000,23983106
14593,20180927,AAPL,224.95000,30186438
14593,20180928,AAPL,225.74001,22926957
14593,20181001,AAPL,227.25999,23599774
14593,20181002,AAPL,229.28000,25047820
14593,20181003,AAPL,232.07001,28651227
14593,20181004,AAPL,227.99001,32039176
